what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1376588893770
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1376588893770
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1376588893770
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1376588893771
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1376588893771
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1376588893772
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1376588893772
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1376588893772
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1376588893773
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1376588893773
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1376588893775
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1376588893775
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1376588893776
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1376588893777
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1376588893777
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1376588893778
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1376588893779
started,bundle,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.adt",1376588893779
started,bundle,com.android.ide.eclipse.base,22.0.5.v201307292155--757759,"com.android.ide.eclipse.base",1376588893779
os,sysinfo,,,"macosx",1376588893782
arch,sysinfo,,,"x86_64",1376588893782
ws,sysinfo,,,"cocoa",1376588893782
locale,sysinfo,,,"en_US",1376588893782
processors,sysinfo,,,"4",1376588893782
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1376588893782
java.runtime.version,sysinfo,,,"1.6.0_51-b11-456-11M4508",1376588893782
java.specification.name,sysinfo,,,"Java Platform API Specification",1376588893782
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1376588893782
java.specification.version,sysinfo,,,"1.6",1376588893782
java.vendor,sysinfo,,,"Apple Inc.",1376588893782
java.version,sysinfo,,,"1.6.0_51",1376588893782
java.vm.info,sysinfo,,,"mixed mode",1376588893782
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1376588893782
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1376588893782
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1376588893782
java.vm.specification.version,sysinfo,,,"1.0",1376588893782
java.vm.vendor,sysinfo,,,"Apple Inc.",1376588893782
java.vm.version,sysinfo,,,"20.51-b01-456",1376588893782
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376588894466
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1376588894474
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376588899036
