what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1376726566482
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1376726566490
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1376726566535
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1376726566536
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1376726566536
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1376726566564
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1376726566578
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1376726566621
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1376726566642
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1376726566672
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1376726566672
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1376726566695
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1376726566723
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1376726566748
started,bundle,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.adt",1376726566749
started,bundle,com.android.ide.eclipse.base,22.0.5.v201307292155--757759,"com.android.ide.eclipse.base",1376726566749
os,sysinfo,,,"macosx",1376726566753
arch,sysinfo,,,"x86_64",1376726566753
ws,sysinfo,,,"cocoa",1376726566753
locale,sysinfo,,,"en_US",1376726566753
processors,sysinfo,,,"4",1376726566753
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1376726566753
java.runtime.version,sysinfo,,,"1.6.0_51-b11-456-11M4508",1376726566753
java.specification.name,sysinfo,,,"Java Platform API Specification",1376726566753
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1376726566753
java.specification.version,sysinfo,,,"1.6",1376726566753
java.vendor,sysinfo,,,"Apple Inc.",1376726566753
java.version,sysinfo,,,"1.6.0_51",1376726566753
java.vm.info,sysinfo,,,"mixed mode",1376726566753
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1376726566753
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1376726566753
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1376726566753
java.vm.specification.version,sysinfo,,,"1.0",1376726566753
java.vm.vendor,sysinfo,,,"Apple Inc.",1376726566753
java.vm.version,sysinfo,,,"20.51-b01-456",1376726566753
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1376726585192
