what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.tasks.ui",1376728783988
started,bundle,org.eclipse.mylyn.monitor.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.monitor.ui",1376728783989
started,bundle,org.eclipse.mylyn.tasks.index.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.tasks.index.core",1376728783989
started,bundle,org.eclipse.mylyn.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.tasks.ui",1376728783991
started,bundle,org.eclipse.mylyn.team.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.team.ui",1376728784008
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1376728784011
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1376728784012
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1376728784014
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1376728784015
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1376728784017
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1376728784017
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1376728784017
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1376728784018
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1376728784019
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1376728784020
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1376728784020
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1376728784021
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1376728784022
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1376728784022
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1376728784023
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1376728784024
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1376728784024
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1376728784024
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1376728784025
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1376728784027
started,bundle,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.adt",1376728784027
started,bundle,com.android.ide.eclipse.base,22.0.5.v201307292155--757759,"com.android.ide.eclipse.base",1376728784027
os,sysinfo,,,"macosx",1376728784031
arch,sysinfo,,,"x86_64",1376728784031
ws,sysinfo,,,"cocoa",1376728784031
locale,sysinfo,,,"en_US",1376728784031
processors,sysinfo,,,"4",1376728784031
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1376728784031
java.runtime.version,sysinfo,,,"1.6.0_51-b11-456-11M4508",1376728784031
java.specification.name,sysinfo,,,"Java Platform API Specification",1376728784031
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1376728784031
java.specification.version,sysinfo,,,"1.6",1376728784031
java.vendor,sysinfo,,,"Apple Inc.",1376728784031
java.version,sysinfo,,,"1.6.0_51",1376728784031
java.vm.info,sysinfo,,,"mixed mode",1376728784031
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1376728784031
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1376728784031
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1376728784031
java.vm.specification.version,sysinfo,,,"1.0",1376728784031
java.vm.vendor,sysinfo,,,"Apple Inc.",1376728784031
java.vm.version,sysinfo,,,"20.51-b01-456",1376728784031
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1376728786861
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376728788687
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1376728790222
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1376728790227
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1376728850649
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376728850761
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376728850874
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376728851212
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376728852103
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376728869389
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376728871994
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376728877662
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1376728878845
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1376728878877
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1376728880519
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1376728880779
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1376728880848
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1376728880897
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1376728880956
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1376728881405
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376728909728
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376728991548
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1376728993550
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1376728993820
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1376728993856
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1376728994010
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1376728994048
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1376728994053
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1376728994064
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1376728994069
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1376728994072
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1376728994107
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1376728994111
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376728994704
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376729048285
started,bundle,com.android.ide.eclipse.ddms,22.0.5.v201307292155--757759,"com.android.ide.eclipse.ddms",1376729049439
started,bundle,com.android.ide.eclipse.traceview,22.0.5.v201307292155--757759,"com.android.ide.eclipse.traceview",1376729049669
opened,view,com.android.ide.eclipse.ddms,22.0.5.v201307292155--757759,"com.android.ide.eclipse.ddms.views.LogCatView",1376729049671
activated,view,com.android.ide.eclipse.ddms,22.0.5.v201307292155--757759,"com.android.ide.eclipse.ddms.views.LogCatView",1376729049713
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376729049827
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376729049878
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1376729049921
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376729052850
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376729057491
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376729080192
activated,view,com.android.ide.eclipse.ddms,22.0.5.v201307292155--757759,"com.android.ide.eclipse.ddms.views.LogCatView",1376729229374
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376729229489
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1376729229526
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376729233938
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1376729270429
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1376729270485
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1376729270487
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1376729270554
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1376729270555
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1376729270676
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1376729270814
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1376729274145
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376729480322
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1376729482332
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376729492525
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376730034277
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376730035054
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376730063436
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376730065649
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376730066855
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376730067214
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376731227817
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376731228129
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1376731229023
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1376731229023
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1376731229024
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1376731229025
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1376731229026
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1376731229026
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1376731229027
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1376731229028
